,PC1,PC2,PC3,PC4,PC5
Neuron_001,0.05429639478054943,-0.0032814330836698946,-0.07191776321004001,0.025158871084682944,0.04335565889136613
Neuron_002,0.08006711343179351,0.10837528113960852,0.03630833537920841,-0.055193655378243195,0.042672641967526154
Neuron_003,0.01737829841015648,0.04633058250341327,0.02597824467244142,0.16846279985294907,-0.06531134965954882
Neuron_004,-0.01618328231059954,0.11394649431239359,-0.17357104907722065,-0.049857478156650724,-0.03557338752888582
Neuron_005,-0.0071388922153585894,0.10960636958200748,0.009971340342223689,0.1400490784336323,-0.0055104082994501535
Neuron_006,-0.042258531337677444,0.1531314730491421,0.023798667622854777,0.004401712106088062,0.060594572064199194
Neuron_007,0.1605277422890627,-0.021046092725353127,-0.06320859914968181,-0.03180110414292797,-0.04011189311970631
Neuron_008,0.0306319403185501,0.11439654427154562,-0.03305197966318993,-0.06497140905413656,-0.011428660522719236
Neuron_009,0.04022205146832378,0.08235732406452652,0.0487696818416348,0.03894646276718955,0.016158101371659073
Neuron_010,-0.011615601502978,0.1491600960296705,0.08458235951447324,0.10446572286297115,0.020822981094991477
Neuron_011,0.028761856364210782,0.11167471383760413,-0.04937255335209366,-0.039554474069416604,0.05873950079440582
Neuron_012,0.09176534706424232,0.11200033101501254,0.03271822205580887,0.02332990121368737,0.05586962997865999
Neuron_013,0.10424453335073199,-0.02453791550374226,0.1456135354247716,-0.03731872887295761,0.09250127766261754
Neuron_014,0.14561514461344163,0.04065497863606934,-0.08588150383878035,0.09354897680252895,0.027673231044069983
Neuron_015,-0.01188074124611748,0.08861138157079608,-0.03317397543459048,-0.16330645071445699,-0.00038085610774940375
Neuron_016,-0.08473667348922805,0.10692184848726477,0.11697305767198922,0.07533322409421749,-0.0058404574749772
Neuron_017,-0.05259486209126733,0.07276033415902664,-0.07231010026809485,-0.07880268387430482,-0.20279991531421937
Neuron_018,0.07286990859427042,-0.0434316770890828,-0.021446661399916134,0.11873554163450456,0.06571287239676492
Neuron_019,0.026108571360527733,0.08881069941032195,0.07486211796703408,-0.0439804911007058,0.038346278903989624
Neuron_020,0.010369507399277767,0.12428589284000126,-0.08885757559047873,0.13270820161677865,-0.019306969253698496
Neuron_021,0.011110828987048493,0.025205966151920927,-0.007283907904158023,-0.15106673566010773,0.12912464011445032
