PC1,PC2,PC3,PC4,PC5,timestamp,Velocity,HeadCurvature,BodyCurvature,Pumping,Neural_State
6.320382264367879,1.5539247591307883,-1.8404114314974755,1.926603467666056,2.5588435277903727,596998.991835381,-0.1887539054866571,-0.0850096333329825,0.583934940513876,0.2469135802469136,2
5.949612814468628,0.8866729846846757,-1.7268240925422689,2.884959025163894,2.3515223834003685,596999.605491,-0.2075938733438614,0.5182794169560604,0.6675522900016853,0.1571268237934904,2
6.565426429062198,0.6410031420640601,-0.7126618699360536,2.636248621619007,3.0234884624110494,597000.2055097084,-0.2237340543530662,-0.3422590537118871,0.8610897983929376,0.0,2
7.453701973714873,0.7167624935819139,0.4485151222860741,3.6233909692168775,2.73967289696105,597000.8055285832,-0.2146016693760673,-0.9720172047789164,1.3171976209136866,0.0,2
7.145928266767825,1.11721064570115,1.69052612317006,5.121254836716067,2.639688221318808,597001.4055475004,-0.1813763632909981,0.0829966862768313,1.4180107087084552,0.0,2
7.242939535440835,2.0543122570216807,0.2677655262489091,3.614379419404312,2.282406301833875,597002.0169302501,-0.153290386439138,0.5992691955626224,1.2769642191992474,0.2469135802469136,2
6.61519138739691,2.4035828254150315,0.8198370891403819,4.300484976732205,1.659351034164938,597002.6055852113,-0.1494156734993932,0.2626800826662788,1.169262935141304,0.2469135802469136,2
5.917621607434043,2.54010936665549,2.040929392080675,5.745634615780192,1.7502966894998395,597003.1896945426,-0.1619010417856752,-0.3230392214359986,1.1025096619316197,0.2469135802469136,2
5.759730189943051,2.890044292455382,0.5573698328847696,4.555394659063852,1.78920568491805,597003.8056229098,-0.1907128949112927,0.6229366530788674,0.9148613554032266,0.2469135802469136,2
4.973435779593496,3.323918343673908,-2.482558595833084,2.125670928996743,1.1128628119707726,597004.4215511541,-0.2133361494641593,0.7779666486392126,0.8207558862805943,0.2469135802469136,2
4.760818280380869,3.7672324725424753,-3.1364871697558607,1.0959454580637509,1.0093185752528302,597005.030661227,-0.2389146592322658,0.0586559448156008,0.7637312373433941,0.2469135802469136,2
4.079218216475612,3.900433336507676,-2.894515356517462,1.7023713489509102,0.593799264695111,597005.630680107,-0.2741686112117661,-0.2494916644380888,0.766746070176749,0.202020202020202,2
4.183995077101306,4.150771429019061,-0.6034563492121716,3.8393301632349415,0.8491708621981493,597006.2256987864,-0.2836503198402017,-0.5111851574040842,0.7111190665611297,0.0,2
4.300212595859925,4.411922500692009,-1.0272858399716016,3.1512606027516616,0.5466962020181141,597006.8057169615,-0.2751530170802991,0.3001738688829297,0.6135040724017186,0.0,2
4.714456556162261,4.666714721014784,-1.7445835318408536,2.394180130441672,0.6805031213655042,597007.4432371281,-0.2528203093631281,-0.1105306933134372,0.6308586426775057,0.0,2
4.644497411382615,3.6495095740243855,-1.9884757305322127,2.5210812266625897,1.428595148575451,597008.0148459309,-0.2460770326846215,-0.3236359468903111,0.7000546876258512,0.0,2
4.44578630987402,3.0891767270643014,-2.3773188883161254,2.9022368656965867,1.2912872173489307,597008.6353200197,-0.2400929080722154,-0.1666394153093736,0.794348662273661,0.0,2
4.732646555341804,2.1323130786148683,-2.908583984765154,3.1115432099844096,1.0782489929516743,597009.2307931887,-0.2295231863922932,0.3861116872181577,0.7412053209348013,0.0,2
5.7128020595220725,0.5220553901378231,-3.330792039785311,2.488360741015864,1.3133589707910551,597009.8308120447,-0.2006001759543614,0.4422442878969942,0.9413991004412886,0.0,2
5.706294954279496,-0.516208315355205,-2.813670588302216,1.4309500580006294,0.9365007397777252,597010.4308310213,-0.1744461495604726,-0.4101378244677002,1.2417131071946874,0.0,3
6.035073218768826,-0.4190570418251288,-2.817471654393101,0.7619810854283235,1.379629252064404,597011.03084971,-0.1796344803693516,-0.8784277351788498,1.681350321530705,0.0,3
5.684460107808922,0.0856907234367672,-1.7264485318627232,0.5635318777142622,2.374517149283333,597011.6308686873,-0.1666087888471074,-0.9690311544074468,1.9195713164644013,0.0,2
5.420689771714995,0.0259276297819142,-0.3344403151394619,-0.1159874312989259,3.858389610688968,597012.2240689689,-0.1211829199326169,-0.957423046846242,1.7754937893406235,0.0,3
5.119308593230652,-0.207853101713205,1.4967493585093772,-1.4912048408162757,6.265058180651215,597012.8309062546,-0.0543788262292937,-1.1172771108724788,1.7837797732120704,0.0,3
5.111495596863968,-0.3445678380944789,1.7949437468407163,-0.7493010463332861,5.866551014424486,597013.4309249717,0.0087480469722489,0.0141688466609755,0.8651135145187758,0.0,3
5.074063288871182,-0.5091064344126904,2.118240948401472,-0.0764183532612272,5.604774449941884,597014.0309440793,0.0366271055012706,0.421959217804718,1.5250919538929673,0.0,3
5.01529643555369,-0.6943123198169858,2.462494722244249,0.5461958363390136,5.440927256691966,597014.6309626625,0.0646183349804301,0.3334288444591152,1.4447243305960369,0.0,3
4.940384255879877,-0.8952244724576873,2.82429860329632,1.1319625499920225,5.349768106410728,597015.2309816043,0.0951519396338837,0.0453609136033539,0.5796749562870759,0.0673400673400673,3
4.852786196359064,-1.10833223908323,3.201107406517113,1.6907555109697214,5.314241729645882,597015.8310003572,0.1351468034320991,0.8649375578041499,1.2710079269349548,0.2469135802469136,3
4.860006637837854,-0.3802941694403818,2.0680666447191447,1.680459490446787,4.8622305709808185,597016.4310193048,0.1902680158647267,0.6163662800173957,0.9511133124180297,0.2469135802469136,3
4.455760406820692,0.023861437512975,2.690415005005838,2.635557782793833,4.493774673192796,597017.0560389314,0.2380546453632966,0.3182359414781117,0.8219807976126836,0.2469135802469136,0
3.9171091056700127,0.9017886307145286,1.6045171680659456,2.528591550919686,3.7853725903086537,597017.6310570057,0.2693693548702883,-0.1905357218053091,0.793256041976287,0.2469135802469136,2
3.705218778967524,1.3678293377822095,1.5058124057626818,3.167780435249168,3.140253760047977,597018.2560766821,0.2889182120782776,0.8152928281764975,1.084871935809671,0.2469135802469136,2
3.511754163514156,2.0837326495195008,1.894146444267,3.675704163574946,2.8574303571729582,597018.8560953848,0.273114731792298,-0.5234938415871114,0.7572030686486767,0.2469135802469136,2
3.7256165510418895,2.389673117856705,1.0887024199653572,3.62132522513225,2.366918159427521,597019.4561141768,0.2585315892390297,0.1472683513655152,0.6671849881014854,0.1122334455667788,2
4.005080833451402,2.836072422811876,0.6785331397559,3.934365450997607,2.219542674682954,597020.0561330494,0.2368481108541992,0.8583875950474419,0.6815426473173783,0.0,2
