velocity,angular_velocity,behavioral_state
-0.12097129178051926,-0.18875390548665713,reverse
-0.16902555272198025,-0.2075938733438614,turn_left
-0.05386445878053176,-0.2237340543530662,turn_left
0.09903458352184176,-0.2146016693760673,turn_left
0.12032783805287485,-0.18137636329099813,forward
0.05325027857783729,-0.15329038643913806,pause
0.07780381064048568,-0.14941567349939325,forward
0.07044843735573779,-0.16190104178567524,forward
0.04342235662369368,-0.19071289491129279,pause
0.11576217555782767,-0.21333614946415932,turn_left
0.12338770115498064,-0.23891465923226585,turn_left
0.1260903893745214,-0.2741686112117661,turn_left
0.1205650634714229,-0.2836503198402017,turn_left
0.025636249088752783,-0.27515301708029916,turn_left
-0.04703952081458662,-0.2528203093631281,turn_left
-0.14957703191926836,-0.2460770326846215,turn_left
-0.14015877504815782,-0.2400929080722154,turn_left
-0.16477964274672782,-0.22952318639229327,turn_left
-0.17162396866796756,-0.20060017595436144,reverse
-0.07728597160862058,-0.17444614956047264,reverse
0.10735984520051883,-0.1796344803693516,forward
0.05823530742888738,-0.16660878884710742,pause
0.05696695563947395,-0.12118291993261691,pause
0.0033728802329662942,-0.054378826229293714,pause
-0.011032603082159002,0.008748046972248904,reverse
0.022066594692527166,0.03662710550127066,pause
-0.057747922749352615,0.06461833498043014,reverse
-0.009515898576453042,0.09515193963388371,reverse
0.10333836525775401,0.1351468034320991,forward
0.10729677482214979,0.19026801586472677,forward
0.11229498740040812,0.23805464536329668,turn_right
0.10754746148790312,0.2693693548702883,turn_right
0.07502486184262318,0.28891821207827767,turn_right
0.08720957343525992,0.27311473179229806,turn_right
0.06663665992035793,0.2585315892390297,turn_right
0.035530075334520246,0.2368481108541992,turn_right
0.002633484761846643,0.19135744955343137,pause
-0.012014406256831218,0.1648171098098198,reverse
-0.09376650055519999,0.13166979983257462,reverse
-0.16755847224128037,0.09981772937398739,reverse
-0.1369522604795502,0.058376513591794126,reverse
-0.12450807971563659,0.0492599744032805,reverse
-0.07191255383733743,0.042228178424712,reverse
0.01762318431065353,0.041936472183173035,pause
0.05617127629815235,0.06185638965632738,pause
0.046033715979586186,0.06622357783329973,pause
0.04924340925471695,0.061554555907647364,pause
0.09248149045685548,0.0359790810809067,forward
0.0978704965960345,0.07053727440653858,forward
0.09830078906034195,0.11432656518501928,forward
0.11598988465514935,0.1575718061546823,forward
0.0784600227002592,0.19847164906970782,forward
0.07714045375596489,0.21602594252953458,turn_right
0.010878577788632599,0.22902307998839236,turn_right
-0.05782321281151408,0.2516489239970813,turn_right
-0.14259012853686848,0.26797530391707,turn_right
-0.1565501474423976,0.2602711159659557,turn_right
-0.11793805519558204,0.2592869535875082,turn_right
-0.14516781061628328,0.25754020505191105,turn_right
-0.09174485696752935,0.2672759300404195,turn_right
-0.0035787134549530586,0.2994519561307891,turn_right
0.08684518293452055,0.3027570835045895,turn_right
0.08476017316608574,0.29567813486753547,turn_right
0.16816085060199365,0.286791083555568,turn_right
0.1657364586401839,0.2693333643146972,turn_right
0.10211489873948075,0.23820172499211364,turn_right
0.11309325562544532,0.2063717814931925,turn_right
0.1233477952580805,0.18553986129805564,forward
0.1404454358052334,0.15752053588605847,forward
0.10087152358814587,0.12014371158516796,forward
0.11950410165461432,0.09818698990236321,forward
0.11001586828778936,0.07829922391926707,forward
0.0634051957974407,0.06116551708502685,pause
0.10723348317195706,0.031457921682829855,forward
0.09332724221449941,0.05843588733056834,forward
0.06988996957436279,0.07976460295703332,forward
0.027846299941053174,0.12206823300346681,pause
-0.02193799851898845,0.14787591812451734,reverse
-0.11139034580386059,0.1704449590984637,reverse
-0.10432276304440491,0.17865412307036013,reverse
-0.13685904037227553,0.18269301485029013,reverse
-0.1209417561219958,0.17881250389582115,reverse
-0.1477670022019358,0.17330062595189558,reverse
-0.11779812055127525,0.1762654605318277,reverse
-0.10377029485892927,0.19113372414739302,reverse
-0.02007028570500424,0.20892861885023323,turn_right
0.05313257871241825,0.22289293259436252,turn_right
0.07784586005360628,0.20822569750230555,turn_right
0.0649001727366529,0.20337211895456117,pause
0.04962954233786767,0.2056955166468885,turn_right
0.03932182292008022,0.19005342352121976,pause
0.034561010038123216,0.1587592449492053,pause
0.04836528541155079,0.12861299689619107,pause
0.07248142049788239,0.10664645892883198,forward
0.07139328053518992,0.08967020312364202,forward
0.07889276829636961,0.07015288973055127,forward
0.0779157246640691,0.05280298859435378,forward
0.055147263928260075,0.03742804488842124,pause
0.0717624863793528,0.035182786163524826,forward
0.07591253031992777,0.03818240951688853,forward
0.062437438498610165,0.03117101395627697,pause
0.05466413640835031,0.030632174191664464,pause
0.0626298567310304,0.02859063244494715,pause
0.061843128772181184,0.03847795375861094,pause
0.04047301229283907,0.04272286987839646,pause
0.07015472602819033,0.011952852181963845,forward
0.05340195015459868,-0.02938906991247957,pause
